Title,Year,Genres,Production Country,Budget,Revenue,Popularity,Vote Average
Tomorrow Never Dies,1997,"Adventure, Action, Thriller", United States of America,110000000,333011068,17159576,6
The Patriot,2000,"Drama, History, War, Action",Germany,110000000,215294342,15960788,6.8
The Patriot,2000,"Drama, History, War, Action", United States of America,110000000,215294342,15960788,6.8
X2,2003,"Adventure, Action, Science Fiction, Thriller",United States of America,110000000,407711549,913096,6.8
Home on the Range,2004,"Animation, Family",United States of America,110000000,103951461,8555544,5.7
Around the World in 80 Days,2004,"Action, Adventure, Comedy",Germany,110000000,72178895,7825072,5.7
Around the World in 80 Days,2004,"Action, Adventure, Comedy", Ireland,110000000,72178895,7825072,5.7
Around the World in 80 Days,2004,"Action, Adventure, Comedy", United Kingdom,110000000,72178895,7825072,5.7
Around the World in 80 Days,2004,"Action, Adventure, Comedy", United States of America,110000000,72178895,7825072,5.7
Ocean's Twelve,2004,"Thriller, Crime",United States of America,110000000,362744280,11869347,6.4
Mr. & Mrs. Smith,2005,"Action, Comedy, Drama, Thriller",United States of America,110000000,478207520,15724373,6.5
Night at the Museum,2006,"Action, Adventure, Comedy, Family, Fantasy",United States of America,110000000,574480841,16661966,6.4
Night at the Museum,2006,"Action, Adventure, Comedy, Family, Fantasy", United Kingdom,110000000,574480841,16661966,6.4
Ghost Rider,2007,"Thriller, Action, Fantasy, Horror",United States of America,110000000,228738393,11902354,5.2
Ghost Rider,2007,"Thriller, Action, Fantasy, Horror", Australia,110000000,228738393,11902354,5.2
Live Free or Die Hard,2007,"Action, Thriller",United Kingdom,110000000,383531464,14886039,6.4
Live Free or Die Hard,2007,"Action, Thriller", United States of America,110000000,383531464,14886039,6.4
Ali,2001,Drama,United States of America,107000000,87713825,9303104,6.7
Starship Troopers,1997,"Adventure, Action, Thriller, Science Fiction",United States of America,105000000,121214377,14412644,6.7
The Chronicles of Riddick,2004,"Action, Science Fiction",United States of America,105000000,115772733,5060352,6.3
"10,000 BC",2008,"Adventure, Action, Drama, Fantasy",United States of America,105000000,266000000,1399377,5.1
"10,000 BC",2008,"Adventure, Action, Drama, Fantasy", South Africa,105000000,266000000,1399377,5.1
The Princess and the Frog,2009,"Romance, Family, Animation, Music",United States of America,105000000,267045765,16616517,6.7
Gladiator,2000,"Action, Drama, Adventure",United Kingdom,103000000,457640427,23186667,7.9
Gladiator,2000,"Action, Drama, Adventure", United States of America,103000000,457640427,23186667,7.9
Swordfish,2001,"Action, Crime, Thriller",Australia,102000000,147080413,9646208,6.1
Swordfish,2001,"Action, Crime, Thriller", United States of America,102000000,147080413,9646208,6.1
Minority Report,2002,"Action, Thriller, Science Fiction, Mystery",United States of America,102000000,358372926,20666063,7.1
Batman Forever,1995,"Action, Crime, Fantasy",United Kingdom,100000000,336529144,13321354,5.2
Batman Forever,1995,"Action, Crime, Fantasy", United States of America,100000000,336529144,13321354,5.2
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction",France,100000000,520000000,22661695,7.7
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction", United States of America,100000000,520000000,22661695,7.7
The Hunchback of Notre Dame,1996,"Drama, Animation, Family",United States of America,100000000,100138851,13553999,6.8
Eraser,1996,"Action, Drama, Mystery, Thriller",Canada,100000000,242295562,6919314,5.6
Eraser,1996,"Action, Drama, Mystery, Thriller", United States of America,100000000,242295562,6919314,5.6
Sleepy Hollow,1999,"Drama, Fantasy, Thriller, Mystery",Germany,100000000,206071502,11072361,6.9
Sleepy Hollow,1999,"Drama, Fantasy, Thriller, Mystery", United States of America,100000000,206071502,11072361,6.9
End of Days,1999,"Action, Fantasy, Horror, Mystery",United States of America,100000000,211989043,962371,5.5
Bicentennial Man,1999,"Comedy, Science Fiction",Germany,100000000,93700000,9369918,6.9
Bicentennial Man,1999,"Comedy, Science Fiction", United States of America,100000000,93700000,9369918,6.9
What Lies Beneath,2000,"Drama, Horror, Mystery, Thriller",United States of America,100000000,155464351,9500497,6.3
The Emperor's New Groove,2000,"Adventure, Animation, Comedy, Family, Fantasy",United States of America,100000000,169327687,12297375,7.2
A.I. Artificial Intelligence,2001,"Drama, Science Fiction, Adventure",United States of America,100000000,235926552,13249364,6.8
Planet of the Apes,2001,"Thriller, Science Fiction, Action, Adventure",United States of America,100000000,362211740,17319836,5.6
K-19: The Widowmaker,2002,"Drama, History, Thriller",Canada,100000000,35168966,7718723,6.1
K-19: The Widowmaker,2002,"Drama, History, Thriller", Germany,100000000,35168966,7718723,6.1
K-19: The Widowmaker,2002,"Drama, History, Thriller", United Kingdom,100000000,35168966,7718723,6.1
K-19: The Widowmaker,2002,"Drama, History, Thriller", United States of America,100000000,35168966,7718723,6.1
The Adventures of Pluto Nash,2002,"Action, Comedy, Science Fiction",Australia,100000000,7103973,8903754,4.4
The Adventures of Pluto Nash,2002,"Action, Comedy, Science Fiction", United States of America,100000000,7103973,8903754,4.4
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy, Family",Germany,100000000,876688482,29741452,7.4
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy, Family", United Kingdom,100000000,876688482,29741452,7.4
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy, Family", United States of America,100000000,876688482,29741452,7.4
Gangs of New York,2002,"Drama, History, Crime",United States of America,100000000,193772504,14922399,7.1
Gangs of New York,2002,"Drama, History, Crime", Italy,100000000,193772504,14922399,7.1
Peter Pan,2003,"Adventure, Fantasy, Family",United Kingdom,100000000,121975011,898628,6.9
Peter Pan,2003,"Adventure, Fantasy, Family", United States of America,100000000,121975011,898628,6.9
Hidalgo,2004,"Western, Adventure",United States of America,100000000,108103450,8140709,6.5
Hidalgo,2004,"Western, Adventure", Morocco,100000000,108103450,8140709,6.5
Catwoman,2004,"Action, Crime",United States of America,100000000,82102379,13340272,4.2
National Treasure,2004,"Adventure, Action, Thriller, Mystery",United States of America,100000000,347451894,18932203,6.4
Constantine,2005,"Drama, Fantasy, Horror",Germany,100000000,230884728,9615691,6.6
Constantine,2005,"Drama, Fantasy, Horror", United States of America,100000000,230884728,9615691,6.6
Fantastic Four,2005,"Action, Adventure, Fantasy, Science Fiction",Germany,100000000,330579719,19382082,5.5
Fantastic Four,2005,"Action, Adventure, Fantasy, Science Fiction", United States of America,100000000,330579719,19382082,5.5
Fun with Dick and Jane,2005,Comedy,United States of America,100000000,202026112,13473381,5.9
Happy Feet,2006,"Animation, Comedy",Australia,100000000,384335608,15088318,5.9
