title,year,runtime,genres
Dangal,2016,161,action drama sport
Yuva,2004,161,action drama thriller
Mission Istaanbul,2008,125,action drama thriller
Bard of Blood,2019,45,action drama thriller
Redemption,2019,100,action drama thriller
Squid Game,2021,54,action drama thriller
Sonic X,2003,21,action drama thriller animation comedy fantasy family scifi
Bastille Day,2016,92,action drama thriller crime
Hit & Run,2021,49,action drama thriller crime
Paradise Beach,2019,94,action drama thriller crime european
The Harder They Fall,2021,139,action drama western
Harvey Street Kids,2018,24,action family animation comedy
The Magic School Bus Rides Again: Kids in Space,2020,45,action family animation comedy scifi
Mr. Peabody & Sherman,2014,92,action family animation history scifi romance comedy fantasy
The Sleepover,2020,103,action family comedy
A Series of Unfortunate Events,2017,47,action family comedy drama
Pokémon the Movie: Secrets of the Jungle,2020,99,action family fantasy animation
Green Eggs and Ham,2019,28,action family fantasy drama animation comedy romance
Jurassic World: Camp Cretaceous,2020,24,action family scifi animation
The Kings Avatar,2019,36,action fantasy
Double World,2020,110,action fantasy
Dynasty Warriors,2021,117,action fantasy
Fate/Extra Last Encore,2018,25,action fantasy animation
Ultramarine Magmell,2019,24,action fantasy animation
Cells at Work!,2018,23,action fantasy animation comedy
One-Punch Man,2015,24,action fantasy scifi animation comedy
Cloudy with a Chance of Meatballs,2017,11,action fantasy scifi animation comedy family
Samurai Rabbit: The Usagi Chronicles,2022,25,action fantasy scifi animation comedy family
Sisyphus,2021,71,action fantasy scifi drama
Code Lyoko,2003,24,action fantasy thriller comedy family scifi romance animation
Monster Run,2020,104,action fantasy thriller drama scifi
Marco Polo: One Hundred Eyes,2015,28,action history drama
The Crowned Clown,2019,75,action history romance drama
High-Rise Invasion,2021,25,action horror scifi thriller animation
Betaal,2020,47,action horror thriller
Blippi The Musical,2022,60,action music
You vs. Wild,2019,20,action reality
Animals on the Loose: A You vs. Wild Interactive Movie,2021,45,action reality
Total Drama Island,2007,23,action reality animation family comedy drama
The Lovebirds,2021,87,action romance comedy crime thriller
Spy Kids: Mission Critical,2018,25,action romance thriller scifi family comedy drama animation
Knight Rider 2000,1991,91,action scifi
Beyblade Burst Turbo,2018,24,action scifi
Occupation: Rainfall,2020,128,action scifi
Blood of Zeus,2020,32,action scifi
