title,year,imdb,tmdb,genre
Tokyo Trial,2016,7.4,6.9,drama
Love O2O,2016,8,6,drama
Baaghi,2016,5.3,6.4,thriller
Good Morning Call,2016,7.7,7.1,comedy
Mercy,2016,4.1,4.3,thriller
Our Lovers,2016,6.7,7.2,comedy
Inside the World's Toughest Prisons,2016,7.1,7.4,crime
Septembers of Shiraz,2015,7.9,5.8,drama
Ordinary World,2016,5.5,6,drama
Beat Bugs,2016,7.6,6.6,animation
Dhanak,2015,7.9,7.5,drama
The Visit,2015,0,6,comedy
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,2016,5.6,5.8,comedy
Captive,2016,6.8,6.8,documentation
Demetri Martin: Live (At The Time),2015,7.4,6.9,comedy
Brothers,2015,6.4,6.6,drama
Another Miss Oh,2016,7.9,8.2,drama
Rebirth,2016,4.9,4.6,thriller
Audrie & Daisy,2016,7.2,7.2,documentation
T@gged,2016,7.3,8,drama
Riot,2015,5.1,5.9,action
Anjelah Johnson: Not Fancy,2015,5.7,4.8,comedy
The Deep,2015,8.1,8.4,action
La Nia,2016,8.3,7.7,action
Colin Quinn: The New York Story,2016,6.8,6.3,comedy
Ask the Storybots,2016,8.4,8.2,animation
Divines,2016,7.4,7.8,drama
MindGamers,2015,3.6,4.3,thriller
La esclava blanca,2016,8.1,7.4,history
Tony Robbins: I Am Not Your Guru,2016,6.7,6.6,documentation
I Am Michael,2015,5.6,5.6,drama
Justin Timberlake + The Tennessee Kids,2016,7.8,7.6,documentation
World of Winx,2016,6.6,8.1,action
Heneral Luna,2015,7.4,7.7,action
Un + une,2015,6.2,5.9,comedy
Mucize,2015,7.7,7.2,drama
Pororo the Little Penguin,2016,6.3,5,scifi
The Heirs,2015,5.7,6.1,drama
72 Cutest Animals,2016,5.7,6.5,documentation
Richie Rich,2015,3.1,6.3,comedy
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,7.4,7.2,comedy
In the Shadow of Iris,2016,6.1,5.9,thriller
Jim Jefferies: Freedumb,2016,7.7,7.3,comedy
Force 2,2016,6.2,6.5,crime
Couple Of Days,2016,6.4,4,drama
3000 Nights,2015,7.1,6.1,drama
6 Years,2015,5.6,5.4,romance
Tamasha,2015,7.4,6.6,drama
Manson Family Vacation,2015,5.8,5.9,drama
Garfunkel and Oates: Trying to be Special,2016,7.3,7.5,comedy
LEGO Friends: The Power of Friendship,2016,6.5,7.7,animation
Strange Weather,2016,6,6,drama
Rainbow Time,2016,5.9,5.9,drama
Extremis,2016,0,7.1,documentation
Much Loved,2015,6.2,6,drama
The Good Cop,2015,7.7,7,comedy
Always Be My Maybe,2016,6.7,7.4,comedy
Tales by Light,2015,8.3,7.9,documentation
The Guardian Brothers,2016,5.4,5.8,animation
Open Season: Scared Silly,2015,0,5.9,animation
One More Time,2016,6.9,7.2,scifi
My Runway,2016,6.3,7.6,comedy
Riphagen the Untouchable,2016,7.1,6.5,thriller
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,6.3,6.4,comedy
Dear My Friends,2016,8.2,7.8,drama
Toon,2016,7.6,8.3,comedy
White Nights,2016,6.9,8,drama
Udta Punjab,2016,7.8,7.2,crime
The Paper,2016,7.4,7.6,drama
Toro,2016,5.9,6,thriller
Jeff Dunham: Unhinged in Hollywood,2015,6.7,6.2,comedy
Tom Segura: Mostly Stories,2016,7.5,7,comedy
Hunterrr,2015,7,6.2,romance
H20: Mermaid Adventures,2015,5.7,8.8,comedy
Colin Quinn: Unconstitutional,2015,7,6.9,comedy
Keith Richards: Under the Influence,2015,7.1,6.8,music
Terrace House: Aloha State,2016,7.5,8.2,reality
Stories by Rabindranath Tagore,2015,8.8,8.8,drama
The Haunted House,2016,8.4,10,thriller
Ralphie May: Unruly,2015,0,4.3,comedy
Cheer Squad,2016,7.2,8,reality
Mohenjo Daro,2016,5.6,6.5,romance
4K Fireplace,2015,7.7,6.8,family
Zip & Zap and the Captain's Island,2016,5.8,6,comedy
72 Dangerous Places to Live,2016,6.2,6,documentation
Paquita Salas,2016,8,7.1,comedy
Smoke & Mirrors,2016,6.9,6.5,thriller
Nightmare Teacher,2016,7.1,8.4,drama
??? ????,2015,6.8,8,scifi
I Called Him Morgan,2016,7.3,7.2,music
The Next Skin,2016,6.2,5.9,thriller
Old Money,2015,7.3,6.3,comedy
Belgica,2016,6.7,5.8,drama
Taxi Driver,2015,6,5.4,crime
XOXO,2016,5.3,6,music
The White Helmets,2016,0,7.4,war
Rainbow Ruby,2016,6.5,10,animation
Ali Wong: Baby Cobra,2016,7.5,7.4,comedy
Fearless,2016,7.1,8,documentation
The Lion Woman,2016,6.6,6.9,drama
Prem Ratan Dhan Payo,2015,4.4,5.8,action
The Beginning of Life,2016,7.6,7.7,documentation
Pyaar Ka Punchnama 2,2015,7.3,7,comedy
Atelier,2015,6.3,7.8,drama
The Truth Seekers,2016,7.1,0,drama
Chris Tucker: Live,2015,6.3,6,comedy
Schubert in Love,2016,5,5.4,comedy
Chelsea,2016,6.1,5.1,comedy
Home: Adventures with Tip & Oh,2016,5.9,7,comedy
Dinosaur World,2015,0,0,animation
Raman Raghav 2.0,2016,7.4,7.1,thriller
White Rabbit Project,2016,6.9,7,reality
Witch Hunt: A Century of Murder,2015,7.2,0,crime
The Princess Weiyoung,2016,7.9,7.2,drama
Mind Game,2015,7.5,0,drama
Chelsea Does,2016,7.3,6.5,documentation
Real Rob,2015,6.4,6,comedy
Slam,2016,6.1,5.8,comedy
Gridlocked,2016,5.8,5.8,action
Jessica Darling's It List,2016,5.5,6,family
StoryBots Super Songs,2016,8.8,9,animation
Chocolate City: Vegas Strip,2016,3.7,6.5,drama
Journey to Greenland,2016,6.3,6.2,drama
Fifty,2015,6.1,5.3,romance
All About Asado,2016,6.5,6.4,documentation
Phantom,2015,5.9,5.6,thriller
The Ivory Game,2016,7.9,7.6,documentation
HiGH&LOW: The Red Rain,2016,6.2,7,action
Lens,2016,6.6,7.1,thriller
Selfie 69,2016,6.1,6.8,romance
Ali Baba and the 7 Dwarfs,2015,5.8,5.2,comedy
Ghost Patrol,2016,5.1,4.5,animation
Talvar,2015,8.1,7.5,thriller
I'll Sleep When I'm Dead,2016,6.6,6.5,documentation
Dil Dhadakne Do,2015,7,6.8,drama
Wazir,2016,7.2,6.6,thriller
Cosmos Laundromat,2015,0,6.6,fantasy
The Worthy,2016,5.1,4.8,scifi
Kyaa Kool Hain Hum 3,2016,1.9,3.1,comedy
Chronically Metropolitan,2016,5,5.2,drama
1898: Our Last Men in the Philippines,2016,6.5,6.5,drama
Sofa Nio de Rivera: Exposed,2016,7.3,7.4,comedy
Russell Peters: Almost Famous,2016,6.5,6.7,comedy
Miss in Kiss,2016,7.7,8,comedy
Ludo,2015,2.8,2.9,horror
Everything About Her,2016,7.1,8.1,comedy
#FollowFriday,2016,2.7,3.6,thriller
Eddie: Strongman,2015,7.4,6.8,documentation
Gabbar Is Back,2015,7.2,7.2,drama
The Massively Mixed-Up Middle School Mystery,2015,7.3,0,comedy
Jonah,2016,5.4,6,thriller
Coach Snoop,2016,6.8,7.8,documentation
Motu Patlu: King Of Kings,2016,6.8,9,animation
Sen Benim Her?eyimsin,2016,6.2,6.3,comedy
Barakah Meets Barakah,2016,6.3,6.5,romance
Word Party,2016,5.7,8.3,animation
Fitoor,2016,5.4,5.8,drama
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,6.8,6.9,comedy
Puerto Ricans in Paris,2015,5.3,5.7,comedy
Reggie Watts: Spatial,2016,6,5.7,comedy
You Are My Sunday,2016,7.8,7,drama
Layla M.,2016,6.7,6.4,drama
Trailer Park Boys: Out of the Park: Europe,2016,7,6.2,action
Asperger's Are Us,2016,6.6,5.9,documentation
Honeytrap,2015,5.9,4.8,drama
City of Joy,2016,7.5,7.5,documentation
ABCD 2,2015,5.4,5.6,music
Iliza Shlesinger: Freezing Hot,2015,6.8,6.6,comedy
My Sunshine,2015,6.6,6.5,drama
Carlos Ballarta: el amor es de putos,2016,7,6.7,comedy
Offline: Are You Ready for the Next Level?,2016,5,5.4,action
A Touch of Green,2015,8.4,9,family
Olmo and the Seagull,2015,7.2,7.1,drama
07:19:00,2016,5.9,6.4,thriller
Born in Syria,2016,7.7,7.1,documentation
Te3n,2016,7.3,6.9,thriller
Kulipari: An Army of Frogs,2016,6.9,7.4,action
The Doll,2016,5.2,5.3,thriller
Brother Jekwu,2016,0,0,comedy
Clair Obscur,2016,6.5,6.3,drama
Pettson and Findus: The Best Christmas Ever,2016,5.5,5.4,family
U Turn,2016,7.5,6.7,horror
28 Faces of the Moon,2016,6.4,6,drama
I Love You,2016,4.7,4.5,drama
Ordinary People,2016,7.3,6.3,drama
Poshter Girl,2016,6.6,8,comedy
The Creative Indians,2016,8.3,0,documentation
Shaandaar,2015,3.6,4.9,romance
Kazoops!,2016,7.5,8,family
Bottersnikes & Gumbles,2016,5.1,7.3,action
Hawaizaada,2015,5.6,6,fantasy
Fangbone!,2016,6.2,5.6,animation
Very Big Shot,2015,7.1,6.7,thriller
Joe Rogan: Triggered,2016,7.4,6.7,comedy
X: Past Is Present,2015,5.1,5.7,drama
David Cross: Making America Great Again,2016,6.4,6.7,comedy
100 Meters,2016,7.5,7.5,drama
Iliza Shlesinger: Confirmed Kills,2016,6.6,6.4,comedy
Breaking the Bank,2016,4.8,4.5,comedy
Hannibal Buress: Comedy Camisado,2016,6.6,6.4,comedy
Bangistan,2015,4.5,6.4,comedy
Lang Tong,2015,4.8,4,thriller
Kiss of Life,2015,5.9,4.3,comedy
Chasing Cameron,2016,3.8,5.8,reality
S Storm,2016,5.2,5.7,action
Hans Teeuwen: Echte Rancune,2016,0,6.3,comedy
Theo Von: No Offense,2016,5.6,6.4,comedy
If I were an Animal,2016,0,0,documentation
Mike Epps: Don't Take It Personal,2015,4.4,4.6,comedy
Husband Factor,2015,6.2,5.7,comedy
Michael Che Matters,2016,7.2,6.8,comedy
Spark,2016,7,0,drama
Under the Black Moonlight,2016,5,4,drama
Aziz Ansari: Live at Madison Square Garden,2015,6.6,6.7,comedy
Hibana: Spark,2016,7.9,7.8,drama
Katti Batti,2015,4.7,5.6,romance
Ave Maria,2015,0,5.9,comedy
Patton Oswalt: Talking for Clapping,2016,6.8,6.5,comedy
Husband Factor: Resurrection,2016,5.4,6.1,comedy
XV Beyond the Tryline,2016,6.8,7.5,documentation
Close Your Eyes Before It's Dark,2016,7,7,drama
Best Lover,2016,6.8,9.7,drama
Luna Petunia,2016,6.2,8,animation
A Second Chance,2015,8.6,7.1,romance
Soul Thieves,2015,5,5.6,horror
Umrika,2015,6.6,5.8,drama
Wedding Association 2: Circumcision,2015,6.4,6.3,comedy
The Miracle,2016,6.3,8,drama
The Dream Job,2016,6.1,0,drama
One in a Billion,2016,6.7,7,documentation
Frank and Cindy,2015,6.1,5.4,comedy
Vanished 46,2016,8.4,7.8,scifi
Niyazi Gl Drtnala,2015,4.5,4.2,comedy
Brent Morin: I'm Brent Morin,2015,6.5,7.3,comedy
My Mother's Wound,2016,7.3,6.9,drama
Saawan,2016,7.4,7.4,drama
Beauty and the Bestie,2015,4.8,4.8,comedy
The CEO,2016,5.7,0,drama
Sam Kinison: The Scream Continues,2016,6.1,7,documentation
Magic Cellphone,2016,4.1,10,drama
Sila Samayangalil,2016,5.5,7.8,drama
Secret of Success,2015,0,0,drama
Diamond Lover,2015,6.4,7.5,comedy
Ricardo O'Farrill: Abrazo Genial,2016,5.5,5.2,comedy
Brahman Naman,2016,5.5,5.6,comedy
Dedemin Fi?i,2016,5.5,5.9,comedy
My Stupid Boss,2016,7.2,6.8,comedy
Love O2O,2016,6.4,6.9,romance
Ojukokoro (Greed),2016,6.7,6,comedy
Aerials,2016,1.5,0,drama
Unchained fate,2016,0,0,scifi
Santa Pac's Merry Berry Day,2016,0,5.5,action
Sons of the Caliphate,2015,7.4,0,drama
Cedric the Entertainer: Live from the Ville,2016,6,5.6,comedy
The Blind Christ,2016,5.8,4.9,drama
Black,2015,4.4,0,action
Souk Bazaar,2015,5.2,5.1,comedy
Dharam Sankat Mein,2015,6.3,6.8,comedy
Saudi Arabia Uncovered,2016,0,6.5,documentation
#Rucker50,2016,5.2,3.7,documentation
The Tour,2016,0,7,comedy
Barcelona: A Love Untold,2016,6.9,6.1,drama
Project Marathwada,2016,6.6,0,drama
Gang of the Caribbean,2016,5.1,4.8,thriller
Budhia Singh: Born to Run,2016,7.6,6.1,drama
Crazy Beautiful You,2015,7.2,6.9,romance
Kara Bela,2015,6.8,6.7,comedy
Road To High & Low,2016,6.7,6,action
Fartsa,2015,6.7,7.3,crime
The Breakup Playlist,2015,6.5,6.8,drama
Singles Villa,2015,7.7,7.5,drama
Vince & Kath & James,2016,6.9,6.4,romance
Sommore: The Reign Continues,2015,6.9,7,comedy
The Last Egg,2016,4.8,6,romance
Ricardo O'Farrill: abrazo navideo,2016,5.7,5.7,comedy
You're My Boss,2015,6.3,8.1,comedy
Everyday I Love You,2015,7.1,7.9,romance
Triumph in the Skies,2015,4.3,4.2,comedy
The Super Parental Guardians,2016,4.5,6.7,comedy
Gbomo Gbomo Express,2015,5,5,drama
Chris D'Elia: Incorrigible,2015,6.4,6.2,comedy
Virunga: Gorillas in Peril,2015,6.6,7,documentation
Thomas & Friends: Full Steam To The Rescue!,2016,0,10,family
Cristina,2016,0,8.2,drama
Janoskians: Untold and Untrue,2015,3.7,5.1,comedy
Dieter Nuhr: Nuhr in Berlin,2016,4.8,6.2,comedy
Santa Banta Pvt Ltd,2016,2.7,3.8,comedy
Tariqi: My Way,2015,7.2,0,drama
'76,2016,5.6,7.2,romance
The Governor,2016,7.4,0,drama
Chhota Bheem in African Safari,2015,6.5,0,animation
Grandmother's Farm Part 2,2015,5.3,0,comedy
Jandino: Whatever it Takes,2016,4.5,5,comedy
The Unmarried Wife,2016,5.8,6.5,romance
The Love Affair,2015,6.2,5.7,romance
PacÕs Scary Halloween,2016,0,7.4,fantasy
Back to 1989,2016,8,8.8,scifi
Snervous Tyler Oakley,2015,5.4,5.7,documentation
Meet The in-Laws,2016,6,5,comedy
Oloibiri,2015,5.1,0,thriller
A Chaster Marriage,2016,5.4,5.1,romance
Popples,2015,6,8,animation
Hajwala: The Missing Engine,2016,2.1,6.2,drama
The Arbitration,2016,5.1,6.5,drama
Just the Way You Are,2015,6.3,7.5,drama
My Little Baby,2016,6.9,5.4,comedy
Love Storm,2016,5.5,9,family
Bibik Bibikku,2016,0,0,drama
The Third Party,2016,6.1,5.6,comedy
Lakeeran,2016,6.2,0,drama
Love Is a Story,2015,6,7,comedy
A Man Returned,2016,0,6.5,documentation
Time Out,2015,6,7.3,drama
Jada,2016,5.3,4,drama
Ozark,2017,8.5,8.2,crime
Derry Girls,2018,8.4,8.2,comedy
The Sinner,2017,7.9,7.5,crime
Blade Runner 2049,2017,8,7.5,scifi
Dark,2017,8.7,8.4,scifi
Sorry to Bother You,2018,6.9,6.8,fantasy
Dunkirk,2017,7.8,7.5,drama
Wind River,2017,7.7,7.4,thriller
Molly's Game,2017,7.4,7.1,drama
Riverdale,2017,6.7,8.5,thriller
Legacies,2018,7.3,8.5,scifi
Mindhunter,2017,8.6,8,crime
Den of Thieves,2018,7,6.7,thriller
All American,2018,7.6,8.2,drama
Phantom Thread,2017,7.4,7.3,romance
Manifest,2018,7.1,7.7,scifi
Elite,2018,7.4,8.1,crime
Cobra Kai,2018,8.6,8.2,action
You,2018,7.7,8.2,thriller
Lost in Space,2018,7.3,7.6,scifi
Money Heist,2017,8.3,0,crime
Lady Bird,2017,7.4,7.3,drama
Good Girls,2018,7.7,8.1,comedy
The Ritual,2017,6.3,6.2,horror
Bodyguard,2018,8.1,7.9,war
Godless,2017,7.6,7.8,western
Altered Carbon,2018,7.9,7.8,scifi
Maniac,2018,7.7,7.4,drama
Dirty John,2018,7.3,7.3,crime
Darkest Hour,2017,7.4,7.4,drama
Babylon Berlin,2017,8.4,7.9,crime
Charmed,2018,4.5,7.4,scifi
The Haunting of Hill House,2018,8.6,8.1,drama
HAPPY!,2017,8.1,7.5,scifi
Workin' Moms,2017,7.8,7.8,comedy
The Nightingale,2018,7.3,7.1,thriller
Wild Wild Country,2018,8.1,7.9,crime
Somebody Feed Phil,2018,8.2,7.5,documentation
Big Mouth,2017,7.9,7.8,animation
How It Ends,2018,5,5.3,thriller
Dynasty,2017,7.2,8.2,drama
The Disaster Artist,2017,7.3,7.1,comedy
Imposters,2017,7.8,7.3,drama
Anne with an E,2017,8.7,8.8,drama
Ghostland,2018,6.4,7.4,horror
Perfect Bid: The Contestant Who Knew Too Much,2017,6.6,6.5,documentation
Manhunt,2017,8.1,7.7,documentation
The Ballad of Buster Scruggs,2018,7.3,7.1,western
Okja,2017,7.3,7.4,drama
Santa Clarita Diet,2017,7.9,7.5,comedy
The Bad Batch,2017,5.2,5.2,drama
The Bureau of Magical Things,2018,6.7,7.6,scifi
One Day at a Time,2017,8.2,8,comedy
The End of the F***ing World,2017,8.1,8.2,crime
Safe,2018,7.2,6.9,drama
GLOW,2017,8,7.4,drama
Trolls: The Beat Goes On!,2018,5.8,8.6,comedy
Collateral,2018,6.7,6.4,drama
Shot Caller,2017,7.3,6.9,thriller
Castlevania,2017,8.3,8.3,scifi
The Shack,2017,6.2,7.4,fantasy
The Kominsky Method,2018,8.2,7.6,drama
Knightfall,2017,6.7,7,action
Atypical,2017,8.3,8.3,comedy
Alias Grace,2017,7.7,7.4,drama
Roma,2018,7.7,7.7,drama
Deadwind,2018,7.3,6.8,drama
Crooked House,2017,6.3,6.4,drama
A Series of Unfortunate Events,2017,7.8,7.3,action
The Beguiled,2017,6.8,5.9,drama
American Vandal,2017,8.1,7.6,comedy
Watership Down,2018,7.2,6.9,animation
Mystery Science Theater 3000,2017,8.2,7.9,scifi
Chilling Adventures of Sabrina,2018,7.4,8.3,scifi
What Happened to Monday,2017,6.8,7.2,thriller
The Foreigner,2017,7,6.8,thriller
Apostle,2018,6.3,6.1,thriller
Icarus,2017,7.9,7.7,documentation
The Package,2018,5.5,6,comedy
Violet Evergarden,2018,8.4,8.7,drama
Narcos: Mexico,2018,8.4,7.9,drama
Mary Magdalene,2018,5.9,6.3,drama
Disenchantment,2018,7.2,7.6,scifi
Gerald's Game,2017,6.5,6.4,horror
Level 16,2018,6,6.8,thriller
BAKI,2018,6.7,8.1,action
The Invisible Guest,2017,8,8.1,thriller
The Cloverfield Paradox,2018,5.5,5.6,thriller
I Don't Feel at Home in This World Anymore,2017,6.9,6.5,drama
Wet Hot American Summer: Ten Years Later,2017,6.9,6.6,comedy
Abducted in Plain Sight,2018,6.8,6.4,crime
Annabelle: Creation,2017,6.5,6.6,horror
Seven Seconds,2018,7.7,7.4,crime
The Witch: Part 1. The Subversion,2018,7.1,7.7,fantasy
Kodachrome,2017,6.8,6.8,drama
Devilman Crybaby,2018,7.6,7.9,scifi
Calibre,2018,6.8,6.5,thriller
Oats Studios,2017,6.4,8,scifi
Two Sentence Horror Stories,2017,5.5,5.5,drama
I Am Not Your Negro,2017,7.9,7.8,documentation
Black Spot,2017,7.4,7,drama
Rust Valley Restorers,2018,7.8,8.1,documentation
Bird Box,2018,6.6,6.9,thriller
Everything Sucks!,2018,7.5,7.6,drama
The Zookeeper's Wife,2017,7,7.4,drama
Bad Blood,2017,7.5,7.5,drama
Five Came Back,2017,8.3,7.8,war
Outlaw King,2018,6.9,6.8,drama
Queer Eye,2018,8.5,7.8,reality
Veronica,2017,6.2,6.2,horror
James Acaster: Repertoire,2018,8.4,8.3,comedy
The Keepers,2017,7.6,7.6,crime
Beirut,2018,6.4,6.3,thriller
The Night Comes for Us,2018,6.9,6.8,thriller
13 Reasons Why,2017,7.5,7.8,drama
Pine Gap,2018,7.2,7.2,drama
Destination Wedding,2018,6,5.7,romance
Nightflyers,2018,5.8,5.6,scifi
Cam,2018,5.9,5.8,horror
Black Lightning,2018,6.1,7.2,scifi
The Meyerowitz Stories (New and Selected),2017,6.9,6.5,drama
Malevolent,2018,4.8,5,horror
The Babysitter,2017,6.4,6.1,horror
When We First Met,2018,6.4,6.6,fantasy
Extinction,2018,5.8,6,drama
To All the Boys I've Loved Before,2018,7.1,7.7,romance
Troy: Fall of a City,2018,3.9,6.4,war
Cargo,2017,6.3,6.4,drama
The Dragon Prince,2018,8.4,8.4,scifi
Dear White People,2017,6.1,6.4,comedy
Everybody Knows,2018,6.9,6.5,drama
VeggieTales in the City,2017,5.7,7.6,comedy
Requiem,2018,6.4,6.6,drama
Wormwood,2017,7,6.2,crime
Perfume,2018,7.1,7,crime
The Guernsey Literary & Potato Peel Pie Society,2018,7.3,7.5,romance
1922,2017,6.2,5.9,horror
Evil Genius,2018,7.5,7.5,crime
Home Again,2017,5.8,6.1,drama
Mudbound,2017,7.4,7.4,drama
The Book of Henry,2017,6.5,7.5,thriller
Explained,2018,8,7.7,documentation
Cells at Work!,2018,7.5,8.4,action
She-Ra and the Princesses of Power,2018,7.8,8.8,scifi
Stranger,2017,8.5,8.6,drama
The Rain,2018,7.3,7.4,drama
The Innocent Man,2018,7.3,7,documentation
Berlin Syndrome,2017,6.2,6,thriller
Anon,2018,6.1,5.9,scifi
Rascal Does Not Dream of Bunny Girl Senpai,2018,8.1,8.8,animation
Replicas,2018,5.5,6.1,thriller
Private Life,2018,7.2,6.9,drama
Beyond Skyline,2017,5.3,5.2,scifi
A Futile and Stupid Gesture,2018,6.7,6.5,comedy
Mirai,2018,7,7.3,fantasy
The Strangers: Prey at Night,2018,5.2,5.6,thriller
Dirty Money,2018,8.1,7.2,crime
Tidelands,2018,6.8,6.8,scifi
Hilda,2018,8.5,8.3,scifi
Friends from College,2017,6.9,6.6,comedy
King of Thieves,2018,5.5,5.4,drama
Hold the Dark,2018,5.6,5.3,thriller
My Little Pony: Equestria Girls,2017,6.4,8.1,animation
Insatiable,2018,6.5,7.9,drama
Black Mirror: Bandersnatch,2018,7.1,6.8,scifi
Better Than Us,2018,7.3,7.4,scifi
Cable Girls,2017,7.6,7.9,drama
Sick Note,2017,6.8,7.1,comedy
RBG,2018,7.6,7.6,documentation
B?hubali 2: The Conclusion,2017,8.2,7.3,fantasy
The Perfection,2018,6.1,6.5,thriller
The Discovery,2017,6.2,6.3,thriller
MEGALOBOX,2018,7.8,8,action
The Kindergarten Teacher,2018,6.7,6.6,drama
Wheelman,2017,6.4,6.1,thriller
Mirage,2018,7.4,7.5,thriller
Set It Up,2018,6.5,7,comedy
An Evening with Beverly Luff Linn,2018,5.8,5.8,crime
Transformers: Cyberverse,2018,6.5,7.4,action
The Delivery Boy,2018,6.2,5.5,thriller
Wanderlust,2018,7,6.4,drama
Jack Whitehall: Travels with My Father,2017,7.6,7.4,reality
Little Italy,2018,5.7,6.8,romance
Teasing Master Takagi-san,2018,7.7,8.3,comedy
The Boss Baby: Back in Business,2018,6.4,7,action
The Outsider,2018,6.2,6.2,crime
Skins,2017,6.1,6.6,comedy
Hannah Gadsby: Nanette,2018,8.1,8.1,comedy
Banana Split,2018,6.2,6.8,comedy
Scissor Seven,2018,8.5,8.8,action
Damnation,2017,7.6,7,western
Creep 2,2017,6.4,6.3,horror
Dumplin',2018,6.5,6.8,comedy
Shirkers,2018,7.4,7.6,documentation
The After Party,2018,5.7,6.2,comedy
Red Joan,2018,6.4,6.7,thriller
Mute,2018,5.4,5.6,thriller
The Magic School Bus Rides Again,2017,6.2,6.3,animation
Hell Fest,2018,5.5,5.6,horror
Small Town Crime,2018,6.6,6.4,thriller
Adrift,2018,6.6,6.9,thriller
Cathedral of the Sea,2018,7.4,7,drama
Haunted,2018,4.6,7,documentation
Happy as Lazzaro,2018,7.5,7.4,fantasy
A Bad Moms Christmas,2017,5.6,6.3,comedy
A-X-L,2018,5.3,6.3,scifi
The Other Side of the Wind,2018,6.7,6.7,drama
Dave Chappelle,2017,8.7,7.6,comedy
Ravenous,2017,5.8,5.8,horror
Salt Fat Acid Heat,2018,7.7,8.4,documentation
Great News,2017,7,6.5,comedy
Dark Tourist,2018,7.5,6.5,action
22 July,2018,6.8,7.2,thriller
Abstract: The Art of Design,2017,8.4,8,documentation
Victoria & Abdul,2017,6.8,7,drama
Bakugan: Battle Planet,2018,5.1,6.8,scifi
May the Devil Take You,2018,5.9,6.3,thriller
Kakegurui,2017,7.2,8.3,action
Numberblocks,2017,8.6,9.5,animation
Dogs,2018,8,8.3,documentation
The Forest,2017,7.2,7.1,crime
Buster's Mal Heart,2017,6.2,6.2,thriller
Zoids Wild,2018,6,0,scifi
Death Note,2017,4.5,4.2,fantasy
Mr. Sunshine,2018,8.7,8.4,drama
Bright,2017,6.3,6.2,thriller
The Incredible Jessica James,2017,6.5,6.2,comedy
The Kissing Booth,2018,5.9,7.3,romance
Handsome Devil,2017,7,7.1,drama
Hotel Transylvania: The Series,2017,5.5,7.4,comedy
Sand Castle,2017,6.3,6.5,drama
My Mister,2018,9.2,8.9,drama
Magic for Humans,2018,7.1,6.8,comedy
Bill Nye Saves the World,2017,3.5,3.6,comedy
1983,2018,6.8,6.5,drama
Errementari: The Blacksmith and the Devil,2018,6.4,6.4,drama
Holy Camp!,2017,6.2,6.8,comedy
Forgotten,2017,7.4,8,thriller
Piercing,2018,5.5,5.8,thriller
Unit 42,2017,7,6.6,crime
Innocent,2017,8.4,8.2,drama
Black Earth Rising,2018,7.4,6.9,crime
On Body and Soul,2017,7.5,7.2,fantasy
Mowgli: Legend of the Jungle,2018,6.5,6.5,drama
No Escape Room,2018,5,6.3,thriller
I Am a Killer,2018,7.4,7.2,crime
Goon: Last of the Enforcers,2017,5.8,5.6,comedy
Nailed It!,2018,7.4,7.5,reality
Aggretsuko,2018,8,7.2,animation
Immortals,2018,5.4,6.1,scifi
Ricky Gervais: Humanity,2018,7.9,7.8,comedy
Trolls Holiday,2017,6.2,6.7,fantasy
To the Bone,2017,6.8,7.2,drama
On My Block,2018,7.9,8.5,comedy
Sunderland 'Til I Die,2018,8.1,8,documentation
Gypsy,2017,6.8,6.3,drama
The Bar,2017,6.3,6.3,horror
Siberia,2018,4.3,4.7,thriller
Alexa & Katie,2018,7.4,8.6,comedy
Woodshock,2017,4.2,4.6,thriller
War Machine,2017,6,5.5,drama
Illang: The Wolf Brigade,2018,5.9,6.4,thriller
Security,2017,5.7,6.1,crime
Newness,2017,6.3,6.1,drama
Bitter Daisies,2018,7.2,7,drama
The Breaker Upperers,2018,5.9,5.2,comedy
Joan Didion: The Center Will Not Hold,2017,7.4,7,documentation
Clive Davis: The Soundtrack of Our Lives,2017,7.5,6.3,music
Life Sentence,2018,6.4,6.5,drama
Cry Babies Magic Tears,2018,4.8,7.2,animation
She's Gotta Have It,2017,6.8,6.5,comedy
The Toys That Made Us,2017,8,7.6,documentation
The Standups,2017,6.6,5.8,comedy
Baby,2018,6.8,8,drama
Unsolved: The Murders of Tupac and The Notorious B.I.G.,2018,7.8,7.1,crime
Disjointed,2017,6.8,5.8,comedy
We the Animals,2018,6.9,6.5,drama
Spirit: Riding Free,2017,6.6,8.2,action
Welcome Home,2018,5.2,5.2,thriller
Midnight Sun,2018,6.6,7.8,drama
Unicorn Store,2017,5.5,6,fantasy
Tau,2018,5.8,6.2,thriller
Brain on Fire,2017,6.6,7.1,drama
White Gold,2017,7.4,6.9,comedy
Voice,2017,7.5,6.9,crime
The Good Cop,2018,6.9,6.4,comedy
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,7.9,7.7,documentation
Bathtubs Over Broadway,2018,7.6,8,comedy
Record of Grancrest War,2018,7.1,8.6,scifi
Hitler's Circle of Evil,2018,8,7.7,documentation
What the Health,2017,7.4,7,documentation
Rotten,2018,7.2,7.4,documentation
Duck Butter,2018,5.3,5.5,drama
Because This Is My First Life,2017,8.2,8.6,comedy
