title,revenue,budget,popularity,voteAverage
Star Trek: Nemesis,67312826,60000000,11367801,6.1
Two Weeks Notice,93354918,60000000,7738531,5.9
The Core,74208267,60000000,11664861,5.5
Daddy Day Care,164433867,60000000,6504927,5.6
The Italian Job,176070171,60000000,13995044,6.6
Sinbad: Legend of the Seven Seas,26288320,60000000,8388773,6.6
Intolerable Cruelty,119940815,60000000,13469862,5.8
Runaway Jury,80154140,60000000,8810961,6.9
Paycheck,96269812,60000000,12571789,5.9
Starsky & Hutch,170268750,60000000,10776138,5.6
The Terminal,219417255,60000000,14092373,7.1
The Village,256697520,60000000,8172707,6.2
Ladder 49,74541707,60000000,7650411,6.2
Alfie,13395939,60000000,10411608,5.5
After the Sunset,61347797,60000000,11945666,6
xXx: State of the Union,71073932,60000000,19144611,4.7
Doom,55987321,60000000,11953553,5
Cheaper by the Dozen 2,129181830,60000000,7101422,5.8
The Sentinel,77920346,60000000,12915358,5.8
Flyboys,17800000,60000000,5460942,6.3
Bridge to Terabithia,137587063,60000000,8460206,7
Norbit,95673607,60000000,7667874,5
The Heartbreak Kid,127766650,60000000,9149612,5.7
Alvin and the Chipmunks,361366633,60000000,11805233,5.5
The Happening,163403799,60000000,622229,4.9
Meet Dave,50650079,60000000,11542926,5.1
The Spirit,39031337,60000000,5762005,4.7
Righteous Kill,73174566,60000000,7094624,5.9
Marley & Me,244082376,60000000,9729748,6.9
The Tale of Despereaux,50877145,60000000,12364579,5.8
Inkheart,57490374,60000000,13570926,6
Coraline,124596398,60000000,16639915,7.3
State of Play,87784194,60000000,8905732,6.7
The Soloist,31720158,60000000,11328316,6.6
Year One,62357900,60000000,10087637,4.6
Invictus,122233971,60000000,9109838,7
Ice Age,383257136,59000000,17328902,7.1
GoldenEye,352194034,58000000,14686036,6.6
The Cotton Club,25928721,58000000,9508061,6.5
Just Like Heaven,102854431,58000000,8351773,6.5
Leatherheads,41299492,58000000,937102,5.7
Did You Hear About the Morgans?,85280250,58000000,7323405,5.1
Demolition Man,159055768,57000000,11626116,6.4
DragonHeart,115267375,57000000,2363659,6.4
The Devil's Advocate,152944660,57000000,10920124,7.2
The Mexican,147845033,57000000,9958406,5.8
Captain Corelli's Mandolin,62112895,57000000,9243715,5.6
Rock Star,16991902,57000000,10076223,6
Thunderbirds,28283637,57000000,14363421,4.2
Elizabethtown,52034889,57000000,1182081,6.1
Gods and Generals,12923936,56000000,5374563,6.1
Walking Tall,57223890,56000000,10577565,6
The Pacifier,113006880,56000000,781645,5.8
Pocahontas,346079773,55000000,13280069,6.7
First Knight,127600435,55000000,15178338,5.9
Disclosure,214015089,55000000,11812244,5.9
Stargate,196567262,55000000,13328924,6.8
Forrest Gump,677945399,55000000,48307194,8.2
Executive Decision,121969216,55000000,13106291,5.8
The Fan,18626419,55000000,12202063,5.7
Evita,141047179,55000000,6709803,5.9
Turbulence,11466088,55000000,5304043,5.2
Metro,31987563,55000000,10519481,5.3
City of Angels,198685114,55000000,8228219,6.5
Ronin,41610884,55000000,9672094,6.8
Superman,300218018,55000000,15460102,6.9
Any Given Sunday,100230832,55000000,10571434,6.8
